legacy_reply_id,legacy_topic_id,legacy_author_id,content,created_at,updated_at,status,upvotes_count,legacy_parent_reply_id,sort_order
r-2001,t-2001,u-2021,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-01-16T12:00:00+00:00,2024-01-16T13:00:00+00:00,publish,11,,1
r-2002,t-2001,u-2022,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-01-17T14:00:00+00:00,2024-01-17T15:00:00+00:00,publish,14,,2
r-2003,t-2001,u-2023,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-01-18T16:00:00+00:00,2024-01-18T17:00:00+00:00,publish,17,,3
r-2004,t-2001,u-2024,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-01-19T18:00:00+00:00,2024-01-19T19:00:00+00:00,publish,20,,4
r-2005,t-2002,u-2025,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-01-23T13:00:00+00:00,2024-01-23T14:00:00+00:00,publish,16,,1
r-2006,t-2002,u-2026,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-01-24T15:00:00+00:00,2024-01-24T16:00:00+00:00,publish,19,,2
r-2007,t-2002,u-2027,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-01-25T17:00:00+00:00,2024-01-25T18:00:00+00:00,publish,22,,3
r-2008,t-2002,u-2028,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-01-26T19:00:00+00:00,2024-01-26T20:00:00+00:00,publish,25,,4
r-2009,t-2003,u-2029,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-01-30T14:00:00+00:00,2024-01-30T15:00:00+00:00,publish,21,,1
r-2010,t-2003,u-2030,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-01-31T16:00:00+00:00,2024-01-31T17:00:00+00:00,publish,24,,2
r-2011,t-2003,u-2031,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-01T18:00:00+00:00,2024-02-01T19:00:00+00:00,publish,27,,3
r-2012,t-2003,u-2032,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-02T20:00:00+00:00,2024-02-02T21:00:00+00:00,publish,30,,4
r-2013,t-2004,u-2033,"Je proposerais de séparer les faits vérifiés, les hypothèses et la prochaine étape. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-06T15:00:00+00:00,2024-02-06T16:00:00+00:00,publish,26,,1
r-2014,t-2004,u-2034,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-07T17:00:00+00:00,2024-02-07T18:00:00+00:00,publish,29,,2
r-2015,t-2004,u-2035,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-08T19:00:00+00:00,2024-02-08T20:00:00+00:00,publish,32,,3
r-2016,t-2004,u-2036,"Dans notre équipe, ce qui fonctionne le mieux est une source courte et régulièrement relue. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-09T21:00:00+00:00,2024-02-09T22:00:00+00:00,publish,35,,4
r-2017,t-2005,u-2037,"Je commencerais par rendre la question et son contexte immédiatement visibles. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-13T11:00:00+00:00,2024-02-13T12:00:00+00:00,publish,31,,1
r-2018,t-2005,u-2038,"Une règle utile consiste à conserver le minimum de trace qui explique l’arbitrage. Je documenterais aussi la date de revue, la source principale et la limite de validité.",2024-02-14T13:00:00+00:00,2024-02-14T14:00:00+00:00,publish,34,,2
