legacy_topic_id,legacy_forum_id,legacy_author_id,title,content,created_at,updated_at,status,slug,upvotes_count,replies_count,is_sticky,is_resolved
t-2001,f-2001,u-2001,Comment faire un journal de décision sans alourdir les projets ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-01-15T10:00:00+00:00,2024-01-17T13:00:00+00:00,publish,Comment faire un journal de décision sans alourdir les projets,19,4,1,0
t-2002,f-2002,u-2002,Quelle cadence de revue pour une documentation vivante ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-01-22T11:00:00+00:00,2024-01-24T14:00:00+00:00,publish,quelle-cadence-de-revue-pour-une-documentation-vivante,26,4,0,0
t-2003,f-2003,u-2003,Comment structurer une veille partagée sans bruit ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-01-29T12:00:00+00:00,2024-01-31T15:00:00+00:00,publish,structurer-une-veille-partagee-sans-bruit,33,4,1,1
t-2004,f-2004,u-2004,Quels signaux indiquent qu’un processus doit être simplifié ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-02-05T13:00:00+00:00,2024-02-07T16:00:00+00:00,publish,signaux-processus-a-simplifier,40,4,0,0
t-2005,f-2001,u-2005,Comment formuler une décision réversible et vérifiable ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-02-12T09:00:00+00:00,2024-02-14T12:00:00+00:00,publish,formuler-une-decision-reversible,47,4,0,0
t-2006,f-2002,u-2006,Quel format de compte rendu rend vraiment les réunions utiles ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-02-19T10:00:00+00:00,2024-02-21T13:00:00+00:00,publish,format-compte-rendu-reunion-utile,54,4,0,1
t-2007,f-2003,u-2007,Comment éviter la perte de contexte lors d’un changement d’équipe ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-02-26T11:00:00+00:00,2024-02-28T14:00:00+00:00,publish,eviter-perte-contexte-changement-equipe,61,4,0,0
t-2008,f-2004,u-2008,Quelles sources citer dans une note de synthèse courte ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-03-04T12:00:00+00:00,2024-03-06T15:00:00+00:00,publish,sources-note-synthese-courte,68,4,0,0
t-2009,f-2001,u-2009,"Comment distinguer fait, hypothèse et interprétation dans un dossier ?","Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-03-11T13:00:00+00:00,2024-03-13T16:00:00+00:00,publish,distinguer-fait-hypothese-interpretation,75,4,0,1
t-2010,f-2002,u-2010,Quel rituel aide à capitaliser après une expérimentation ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-03-18T09:00:00+00:00,2024-03-20T12:00:00+00:00,publish,rituel-capitaliser-apres-experimentation,82,4,0,0
t-2011,f-2003,u-2011,Comment concevoir un espace de questions utiles pour une équipe ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-03-25T10:00:00+00:00,2024-03-27T13:00:00+00:00,publish,concevoir-espace-questions-utiles,89,4,0,0
t-2012,f-2004,u-2012,Quelle méthode pour relire une procédure avant sa publication ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-04-01T11:00:00+00:00,2024-04-03T14:00:00+00:00,publish,methode-relire-procedure-publication,13,4,0,1
t-2013,f-2001,u-2013,Comment indexer des ressources internes pour les retrouver vite ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-04-08T12:00:00+00:00,2024-04-10T15:00:00+00:00,publish,indexer-ressources-internes,20,4,0,0
t-2014,f-2002,u-2014,Comment documenter les options écartées sans les survaloriser ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-04-15T13:00:00+00:00,2024-04-17T16:00:00+00:00,publish,documenter-options-ecartees,27,4,0,0
t-2015,f-2003,u-2015,Quels indicateurs suivre pour une base de connaissances ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-04-22T09:00:00+00:00,2024-04-24T12:00:00+00:00,publish,indicateurs-base-connaissances,34,4,0,1
t-2016,f-2004,u-2016,Comment organiser une passation de dossier en une semaine ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-04-29T10:00:00+00:00,2024-05-01T13:00:00+00:00,publish,organiser-passation-dossier,41,4,0,0
t-2017,f-2001,u-2017,Quel niveau de détail pour une fiche de décision stratégique ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-05-06T11:00:00+00:00,2024-05-08T14:00:00+00:00,publish,niveau-detail-fiche-decision,48,4,0,0
t-2018,f-2002,u-2018,Comment rendre les désaccords consultables sans créer de tensions ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-05-13T12:00:00+00:00,2024-05-15T15:00:00+00:00,publish,rendre-desaccords-consultables,55,4,0,1
t-2019,f-2003,u-2019,Comment garder un historique lisible quand un document évolue ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-05-20T13:00:00+00:00,2024-05-22T16:00:00+00:00,publish,historique-lisible-document-evolue,62,4,0,0
t-2020,f-2004,u-2020,Quelles règles simples pour répondre utilement sur un forum métier ?,"Je cherche un retour d’expérience concret sur cette question. L’objectif est de conserver une information utile, de citer les éléments vérifiables et de pouvoir relire la décision plusieurs mois plus tard.",2024-05-27T09:00:00+00:00,2024-05-29T12:00:00+00:00,publish,regles-repondre-forum-metier,69,4,0,0
